id;owner_id;name;description;address;location;state;coordinates_lat;coordinates_lng;visibility;image_1;image_2;image_3;image_4;image_5
1;oh whoa;apud;ferret wholly;general through brr;thunderhead;RENTED;14255.19;32276.11;PRIVATE;unlike idealise;forgo ick behind;beautifully slimy;gleeful;unless subtle
2;quarrelsomely bite-sized disguised;safely;at beatbox upwardly;almanac but when;feel;UNAVAILABLE;2099.92;25965;PUBLIC;underneath wildly;far haunting boohoo;like anenst not;punctually winery innocently;during glaring pig
3;supersede apropos;geez but for;leading;for grandiose;cosset suspect;AVAILABLE;25471.16;9391.83;PUBLIC;freak;lest certainty incredible;considering quadrant;generously plunder;beyond spool burly
4;delightfully wisely elongation;declaim;ack kissingly;deem sometimes;gee;RENTED;2472.25;16886.11;PRIVATE;cheddar what hastily;and;cohere heritage;handle frizzle insistent;whenever
5;huzzah anenst;dolphin;lopsided;ugh anti;infinite;RENTED;2812.7;7387.74;PRIVATE;mingle;beautiful diligently;citrus;eel;and carabao er
6;psst quicker;hence;used;too;clatter;RENTED;30575.16;4594.62;PRIVATE;huzzah hastily incriminate;consequently;below;adventurously sans huzzah;phew excepting from
7;next;before for;swiftly;hourly leafy;believe oh;AVAILABLE;7684.11;25884.69;PRIVATE;symmetry;omega;memorise whelp;aside geez um;um stigmatise
8;well-off;several;instantly;unibody industrialise differentiate;traditionalism;AVAILABLE;9006.93;29110.42;PUBLIC;hm nor wink;duh;digitise exculpate;blindly unnecessarily;disinhibit
9;intently throughout;overachieve award under;unlike restore entire;bowlful;below private;AVAILABLE;13475.71;23103.28;PRIVATE;wheel and fooey;boo gosh;indolent fooey utterly;evergreen;since suburban
10;eek commence;near rubbish;unleash that within;via boohoo;since on on;UNAVAILABLE;17109.87;6529.77;PRIVATE;hilarious ironclad aha;arrogantly cholesterol;naturally;round;super
